Kabul, Afghanistan;4031;t;t
Tirana, Albania;858;t;t
Algiers, Algeria;2677;t;t
Andorra la Vella, Andorra;2389;f;t
Luanda, Angola;10848;t;t
Saint John's, Antigua and Barbuda;8351;t;t
Buenos Aires, Argentina;11918;t;t
Yerevan, Armenia;2405;f;t
Canberra, Australia;15336;t;t
Vienna, Austria;1001;f;t
Baku, Azerbaijan;2837;t;t
Nassau, Bahamas;8973;t;t
Manama, Bahrain;3862;t;t
Dhaka, Bangladesh;6424;t;t
Bridgetown, Barbados;8461;t;t
Minsk, Belarus;1869;f;t
Brussels, Belgium;2115;f;t
Belmopan, Belize;10424;t;t
Porto-Novo, Benin;6646;t;t
Thimphu, Bhutan;6119;t;t
Sucre, Bolivia;11309;t;t
Sarajevo, Bosnia and Herzegovina;599;f;t
Gaborone, Botswana;11170;t;t
Brasilia, Brazil;9721;t;t
Bandar Seri Begawan, Brunei;9778;t;t
Sofia, Bulgaria;0;f;t
Ouagadougou, Burkina Faso;6535;t;t
Gitega, Burundi;7927;t;t
Praia, Cabo Verde;5413;t;t
Phnom Penh, Cambodia;8464;t;t
Yaounde, Cameroon;4458;t;t
Ottawa, Canada;7391;t;t
Bangui, Central African Republic;4273;t;t
N'Djamena, Chad;3483;t;t
Santiago, Chile;12730;t;t
Beijing, China;7370;t;t
Bogot?, Colombia;10270;t;t
Moroni, Comoros;6356;t;t
Kinshasa, Democratic Republic of the Congo;5270;t;t
Brazzaville, Republic of the Congo;5264;t;t
San Jose, Costa Rica;10655;t;t
Yamoussoukro, Cote d'Ivoire;4866;t;t
Zagreb, Croatia;681;f;t
Havana, Cuba;9490;t;t
Nicosia, Cyprus;1205;f;t
Prague, Czechia;1068;f;t
Copenhagen, Denmark;1638;f;t
Djibouti, Djibouti;3946;t;t
Roseau, Dominica;8446;t;t
Santo Domingo, Dominican Republic;8899;t;t
Quito, Ecuador;10994;t;t
Cairo, Egypt;1572;t;t
San Salvador, El Salvador;10742;t;t
Malabo, Equatorial Guinea;4549;t;t
Asmara, Eritrea;3380;t;t
Tallinn, Estonia;1865;t;t
Mbabane, Swaziland;7684;t;t
Addis Ababa, Ethiopia;4025;t;t
Suva, Fiji;16418;t;t
Helsinki, Finland;1947;f;t
Paris, France;1761;f;t
Libreville, Gabon;4887;t;t
Banjul, Gambia;5011;t;t
Tbilisi, Georgia;2199;f;t
Berlin, Germany;1631;f;t
Accra, Ghana;6957;t;t
Athens, Greece;791;f;t
Saint George's, Grenada;8721;t;t
Guatemala City, Guatemala;10767;t;t
Conakry, Guinea;5146;t;t
Bissau, Guinea-Bissau;5073;t;t
Georgetown, Guyana;8805;t;t
Port-au-Prince, Haiti;9082;t;t
Tegucigalpa, Honduras;10562;t;t
Budapest, Hungary;630;f;t
Reykjavik, Iceland;3711;f;t
New Delhi, India;5032;t;t
Jakarta, Indonesia;9941;t;t
Tehran, Iran;2535;t;t
Baghdad, Iraq;2117;t;t
Dublin, Ireland;2479;t;t
Jerusalem, Palestine;1604;t;t
Rome, Italy;898;f;t
Kingston, Jamaica;9468;t;t
Tokyo, Japan;9195;t;t
Amman, Jordan;1630;t;t
Nur-Sultan, Kazakhstan;3711;t;t
Nairobi, Kenya;5056;t;t
Tarawa, Kiribati;14258;t;t
Pristina, Kosovo;177;f;t
Kuwait City, Kuwait;2652;t;t
Bishkek, Kyrgyzstan;4128;t;t
Vientiane, Laos;7814;t;t
Riga, Latvia;1586;f;t
Beirut, Lebanon;1442;t;t
Maseru, Lesotho;7985;t;t
Monrovia, Liberia;5242;t;t
Tripoli, Libya;1406;t;t
Vaduz, Liechtenstein;1194;f;t
Vilnius, Lithuania;1340;f;t
Luxembourg, Luxembourg;1529;f;t
Antananarivo, Madagascar;7259;t;t
Lilongwe, Malawi;6367;t;t
Kuala Lumpur, Malaysia;8824;t;t
Male, Maldives;6529;t;t
Bamako, Mali;4492;t;t
Valletta, Malta;1070;t;t
Majuro, Marshall Islands;13619;t;t
Nouakchott, Mauritania;4595;t;t
Port Louis, Mauritius;7793;t;t
Mexico City, Mexico;10961;t;t
Palikir, Micronesia;12872;t;t
Chisinau, Moldova;649;f;t
Monaco, Monaco;1295;f;t
Ulaanbaatar, Mongolia;6251;t;t
Podgorica, Montenegro;335;f;t
Rabat, Morocco;2788;t;t
Maputo, Mozambique;7661;t;t
Naypyidaw, Myanmar;7158;t;t
Windhoek, Namibia;7255;t;t
Yaren District, Nauru;14101;t;t
Kathmandu, Nepal;5751;t;t
Amsterdam, Netherlands;1747;f;t
Wellington, New Zealand;17663;t;t
Managua, Nicaragua;10647;t;t
Niamey, Niger;3824;t;t
Abuja, Nigeria;4035;t;t
Pyongyang, North Korea;8060;t;t
Skopje, North Macedonia;174;f;t
Oslo, Norway;2098;f;t
Muscat, Oman;3866;t;t
Islamabad, Pakistan;4403;t;t
Ngerulmud, Palau;11147;t;t
Panama City, Panama;10371;t;t
Port Moresby, Papua New Guinea;13462;t;t
Asunci?n, Paraguay;11181;t;t
Lima, Peru;11754;t;t
Manila, Philippines;9535;t;t
Warsaw, Poland;1074;f;t
Lisbon, Portugal;2761;f;t
Doha, Qatar;3218;t;t
Bucharest, Romania;296;f;t
Moscow, Russia;1779;f;t
Kigali, Rwanda;4991;t;t
Basseterre, Saint Kitts and Nevis;8409;t;t
Castries, Saint Lucia;8507;t;t
Kingstown, Saint Vincent and the Grenadines;8588;t;t
Apia, Samoa;16496;t;t
San Marino, San Marino;892;f;t
S?o Tom?, Sao Tome and Principe;4976;t;t
Riyadh, Saudi Arabia;2934;t;t
Dakar, Senegal;4974;t;t
Belgrade, Serbia;330;f;t
Victoria, Seychelles;6161;t;t
Freetown, Sierra Leone;5203;t;t
Singapore, Singapore;9140;t;t
Bratislava, Slovakia;777;f;t
Ljubljana, Slovenia;795;f;t
Honiara, Solomon Islands;14423;t;t
Mogadishu, Somalia;5008;t;t
Pretoria, South Africa;7594;t;t
Seoul, South Korea;8247;t;t
Juba, South Sudan;4272;t;t
Madrid, Spain;2259;f;t
Sri Jayawardenepura Kotte, Sri Lanka;6795;t;t
Khartoum, Sudan;3129;t;t
Paramaribo, Suriname;8633;t;t
Stockholm, Sweden;1885;f;t
Bern, Switzerland;1338;f;t
Damascus, Syria;1525;t;t
Taipei, Taiwan;8791;t;t
Dushanbe, Tajikistan;3826;t;t
Dodoma, Tanzania;5556;t;t
Bangkok, Thailand;7944;t;t
Dili, Timor-Leste;11653;t;t
Lom?, Togo;4598;t;t
Nuku?alofa, Tonga;17062;t;t
Port of Spain, Trinidad and Tobago;8795;t;t
Tunis, Tunisia;1300;t;t
Ankara, Turkey;855;f;t
Ashgabat, Turkmenistan;3005;t;t
Funafuti, Tuvalu;15550;t;t
Kampala, Uganda;4784;t;t
Kyiv, Ukraine;1021;f;t
Abu Dhabi, United Arab Emirates;3488;t;t
London, United Kingdom;2019;f;t
Washington, United States of America;7932;t;t
Montevideo, Uruguay;11787;t;t
Tashkent, Uzbekistan;3763;t;t
Port Vila, Vanuatu;15710;t;t
Vatican City, Vatican City;900;f;t
Caracas, Venezuela;9245;t;t
Hanoi, Vietnam;7860;t;t
Sana'a, Yemen;3628;t;t
Lusaka, Zambia;6454;t;t
Harare, Zimbabwe;6748;t;t
