1111,accelerator,Van,Plovdiv,1.1
1112,air conditioner,Van,Varna,1.1
1113,air conditioning,Van,Sofia ,1.1
1114,air filter,Van,Sofia ,1.1
1115,air vent,Van,Ruse,1.1
1116,airbag,Van,Burgas,1.1
1117,alarm,Van,Plovdiv,1.1
1118,all-wheel drive,Van,Varna,1.1
1119,alternator,Van,Sofia ,1.1
1120,antenna,Van,Sofia ,1.1
1121,anti-lock brakes,Van,Ruse,1.1
1122,armrest,Van,Burgas,1.1
1123,auto,Van,Plovdiv,1.1
1124,automatic transmission,Van,Varna,1.1
1125,automobile,Van,Sofia ,1.1
1126,axle,Van,Sofia ,1.1
1127,back-up lights,Van,Ruse,1.1
1128,battery,Van,Burgas,1.1
1129,bench seat,Van,Plovdiv,1.1
1130,bonnet,Van,Varna,1.1
1131,brake light,Van,Sofia ,1.1
1132,brake pedal,Van,Sofia ,1.1
1133,brakes,Van,Ruse,1.1
1134,bucket seat,Van,Burgas,1.1
1135,bumper,Van,Plovdiv,1.1
1136,camshaft,Van,Varna,1.1
1137,car,Van,Sofia ,1.1
1138,carburetor,Van,Sofia ,1.1
1139,catalytic converter,Van,Ruse,1.1
1140,chassis,Van,Burgas,1.1
1141,chrome trim,Van,Plovdiv,1.1
1142,clutch,Van,Varna,1.1
1143,computer,Van,Sofia ,1.1
1144,console,Van,Sofia ,1.1
1145,cooling system,Van,Ruse,1.1
1146,crankshaft,Van,Burgas,1.1
1147,cruise control,Van,Plovdiv,1.1
1148,cylinder,Van,Varna,1.1
1149,dashboard,Van,Sofia ,1.1
1150,defroster,Van,Sofia ,1.1
1151,diesel engine,Van,Ruse,1.1
1152,differential,Van,Burgas,1.1
1153,dip stick,Van,Plovdiv,1.1
1154,door,Van,Varna,1.1
1155,door handle,Van,Sofia ,1.1
1156,drive belt,Van,Sofia ,1.1
1157,drive shaft,Van,Ruse,1.1
1158,driver's seat,Van,Burgas,1.1
1159,emergency brake,Van,Plovdiv,1.1
1160,emergency lights,Van,Varna,1.1
1161,emissions,Van,Sofia ,1.1
1162,engine,Van,Sofia ,1.1
1163,engine block,Van,Ruse,1.1
1164,exhaust pipe,Van,Burgas,1.1
1165,exhaust system,Van,Plovdiv,1.1
1166,fan belt,Van,Varna,1.1
1167,fender,Van,Sofia ,1.1
1168,filter,Van,Sofia ,1.1
1169,floor mat,Van,Ruse,1.1
1170,fog light,Van,Burgas,1.1
1171,four-wheel drive,Van,Plovdiv,1.1
1172,frame,Van,Varna,1.1
1173,fuel cap,Van,Sofia ,1.1
1174,fuel gauge,Van,Sofia ,1.1
1175,fuse,Van,Ruse,1.1
1176,gas,Van,Sofia ,1.1
1177,gas gauge,Van,Plovdiv,1.1
1178,gas pedal,Van,Varna,1.1
